decile,loans,mean_score,expected_npv,realised_npv,default_rate,gap
0,8786,0.0011661531209670286,3065.120413926987,2230.7007228493444,0.001251991805144548,834.4196910776427
1,8785,0.0021630831775655474,3812.433433102535,2635.757249834397,0.006715993170176437,1176.6761832681382
2,8785,0.0031948479476751,4013.676753196479,2610.193595321,0.012293682413204325,1403.4831578754788
3,8786,0.004494590559323827,4075.1595212049383,2207.2424063249405,0.022194400182107898,1867.9171148799978
4,8785,0.006212187196737063,4012.033562715004,1670.495758249254,0.03369379624359704,2341.53780446575
5,8785,0.008661362653486247,3856.021807111431,1095.005823125328,0.047353443369379626,2761.0159839861026
6,8786,0.012411120944130199,3703.528254263801,-99.35593491406453,0.0721602549510585,3802.8841891778657
7,8785,0.018372603695338795,3329.58842768068,-1491.201129216542,0.10153671030165054,4820.789556897222
8,8785,0.029115837041975928,2807.1684238962825,-3712.8418329242354,0.15731360273192943,6520.010256820518
9,8786,0.06254841046722978,1267.8384008333467,-7933.805769699701,0.26075574778056,9201.644170533047
