feature,coefficient
classic_fico_spline_0,-14.586199
classic_fico_spline_1,5.416762
classic_fico_spline_2,3.9259846
original_combined_loan_to_value_spline_0,-2.822229
original_combined_loan_to_value_is_missing,-2.7413735
cat_channel=OTHER,-2.0209775
original_combined_loan_to_value_spline_2,-1.4215208
classic_fico_is_missing,1.3847787
original_combined_loan_to_value_spline_5,1.2843752
cat_first_time_homebuyer_indicator=OTHER,-1.2169895
cat_property_state=VA,-1.0031863
original_debt_to_income_ratio_spline_2,-0.9942636
cat_property_type=OTHER,-0.89137614
classic_fico_spline_3,0.86857116
cat_property_state=LA,0.8684461
cat_property_state=CA,-0.84248185
classic_fico_spline_6,0.827833
cat_number_of_borrowers=OTHER,-0.761597
cat_number_of_borrowers=2,-0.75330716
original_combined_loan_to_value_spline_6,0.6617872
cat_property_type=MH,0.6165122
original_debt_to_income_ratio_spline_4,-0.5993221
cat_property_state=MD,-0.59084684
cat_property_state=AZ,-0.57128006
cat_loan_purpose=P,-0.49788618
cat_property_state=WI,-0.4784211
original_debt_to_income_ratio_spline_3,-0.47561705
cat_property_type=SF,0.47211364
original_combined_loan_to_value_spline_3,-0.4570944
cat_channel=T,0.4516661
classic_fico_spline_5,-0.41833773
cat_property_state=MA,-0.4143881
original_debt_to_income_ratio_spline_0,0.4120356
cat_property_state=IL,-0.4052629
cat_property_state=OK,-0.39612803
cat_property_state=NE,-0.38975778
original_combined_loan_to_value_spline_4,-0.3656292
cat_property_state=NJ,-0.3630128
cat_property_state=NM,-0.36266905
cat_property_state=CO,-0.3245564
cat_property_state=FL,-0.32254547
cat_property_state=NC,-0.3203062
cat_number_of_units=2,0.30539376
cat_property_state=WA,-0.30324513
cat_property_state=OR,-0.2919485
cat_property_state=SC,0.2891463
cat_property_state=KS,-0.28242674
cat_occupancy_status=P,-0.28235438
lin_original_loan_term,0.26822865
cat_property_state=MN,-0.26522473
lin_original_interest_rate,0.26090875
original_combined_loan_to_value_spline_1,0.2581391
cat_occupancy_status=S,-0.24406017
cat_property_state=MO,-0.24151114
cat_property_state=CT,-0.23368502
original_debt_to_income_ratio_spline_1,-0.23107272
classic_fico_spline_4,0.22908987
cat_property_state=NV,-0.2284452
lin_log_original_upb,-0.21428573
cat_property_type=PU,0.21299693
cat_property_state=OTHER,-0.19281138
cat_property_state=NY,-0.18726712
original_debt_to_income_ratio_spline_5,-0.16160949
original_debt_to_income_ratio_is_missing,0.12459135
cat_property_state=IN,0.114516854
cat_loan_purpose=N,-0.10788682
cat_property_state=ID,-0.10009318
cat_property_state=KY,-0.092939086
cat_property_state=PA,-0.08933742
cat_property_state=GA,0.08754088
cat_property_state=TN,-0.07204457
cat_property_state=OH,0.057847258
original_debt_to_income_ratio_spline_6,-0.05745029
cat_property_state=IA,-0.05583877
cat_property_state=TX,0.05307495
cat_property_state=NH,0.048106283
cat_property_state=UT,0.020525193
cat_first_time_homebuyer_indicator=Y,0.014766518
cat_number_of_units=OTHER,-0.013829215
cat_property_state=MI,-0.012692006
cat_occupancy_status=OTHER,0.0
cat_loan_purpose=OTHER,0.0
original_loan_term_is_missing,0.0
log_original_upb_is_missing,0.0
original_interest_rate_is_missing,0.0
