variant,loans,lgd,discount_spread_bps,npv_total,npv_per_loan,npv_per_dollar,default_leg,delta_vs_raw,delta_pct,scope
raw,129411,0.133,100.0,306030660.02713495,2364.796346733546,0.012455494283486038,606235272.6351441,0.0,0.0,headline
platt,129411,0.133,100.0,308292759.8049324,2382.276311943594,0.012547562087569894,595832464.8456264,17.479965210047794,0.007391742309731059,headline
isotonic,129411,0.133,100.0,305177374.77324873,2358.202739900385,0.012420765444221958,610009917.923049,-6.593606833161175,-0.002788234531175936,headline
raw,87955,0.133,100.0,298666389.2730944,3395.672665261718,0.017447959519981324,408222245.250093,0.0,0.0,sequential
platt,87955,0.133,100.0,300173580.7705711,3412.808604065387,0.017536008986480844,401420168.4660505,17.135938803668978,0.005046404790123739,sequential
isotonic,87955,0.133,100.0,298374439.88762796,3392.353361237314,0.01743090396487886,409286844.2544942,-3.3193040244041185,-0.0009775100110093464,sequential
sequential,87955,0.133,100.0,179987616.15217635,2046.3602541319578,0.010514797625418699,950575701.7808006,-1349.3124111297602,-0.3973623326339564,sequential
raw,8803,0.1,50.0,59098056.704560705,6713.399602926355,0.03437920327477665,42849935.31562311,0.0,0.0,sensitivity
raw,8803,0.1,100.0,31869861.522462014,3620.340965859595,0.018539703481233932,41910875.65277406,0.0,0.0,sensitivity
raw,8803,0.1,150.0,5472320.007705713,621.6426227088166,0.003183421121104704,41003269.75741261,0.0,0.0,sensitivity
raw,8803,0.133,50.0,57637255.98272478,6547.456092550809,0.0335294094277302,41389134.593787186,0.0,0.0,sensitivity
raw,8803,0.133,100.0,30452111.264596425,3459.287886470115,0.017714953446699096,40493125.39490847,0.0,0.0,sensitivity
raw,8803,0.133,150.0,4095967.196458403,465.29219544000944,0.0023827532867589777,39626916.94616531,0.0,0.0,sensitivity
raw,8803,0.18,50.0,55556721.621322095,6311.112305046245,0.03231909697890647,39308600.23238451,0.0,0.0,sensitivity
raw,8803,0.18,100.0,28432891.20036362,3229.9092582487356,0.01654030945811918,38473905.33067567,0.0,0.0,sensitivity
raw,8803,0.18,150.0,2135707.1319546616,242.61128387534495,0.0012424081893574902,37666656.881661564,0.0,0.0,sensitivity
raw,8803,0.2407,50.0,52869733.6269148,6005.876817779711,0.030755991326914974,36621612.23797721,0.0,0.0,sensitivity
raw,8803,0.2407,100.0,25825089.968471464,2933.669200098996,0.015023269243080863,35866104.09878351,0.0,0.0,sensitivity
raw,8803,0.2407,150.0,-395947.88752144575,-44.978744464551376,-0.00023033537260570686,35135001.86218545,0.0,0.0,sensitivity
platt,8803,0.1,50.0,59233845.53760316,6728.8248935139345,0.03445819592113301,42141242.94955103,15.425290587579184,0.002297686939543318,sensitivity
platt,8803,0.1,100.0,31994827.790463094,3634.536838630364,0.018612400300210177,41218755.658295795,14.195872770768801,0.003921142484820682,sensitivity
platt,8803,0.1,150.0,5587042.104841773,634.6747818745624,0.003250158582833203,40327161.13642971,13.032159165745838,0.020964069530750674,sensitivity
platt,8803,0.133,50.0,57797182.51496733,6565.623368734219,0.03362244373490687,40704579.92691518,18.16727618340974,0.0027747076004188964,sensitivity
platt,8803,0.133,100.0,30600468.639345527,3476.140933698231,0.017801257610122086,39824396.50717822,16.853047228115884,0.004871825584112592,sensitivity
platt,8803,0.133,150.0,4233363.035971536,480.90003816557265,0.002462680779457161,38973482.06755948,15.607842725563216,0.03354417477560195,sensitivity
platt,8803,0.18,50.0,55751026.088789016,6333.184833441896,0.03243213001513026,38658423.50073688,22.072528395651716,0.0034974070066861184,sensitivity
platt,8803,0.18,100.0,28614563.18169322,3250.5467660676154,0.016645993778784493,37838491.04952592,20.63750781887984,0.0063895008090937965,sensitivity
