bin,rows,events,mean_predicted,observed_rate,min_predicted,max_predicted,bin_low,bin_high,standard_error,residual,z,population,variant
0,484583,12,1.585274171166077e-05,2.4763559596601614e-05,4.787728471455921e-07,2.6844823878491297e-05,4.787728471455921e-07,2.6844890362554e-05,5.7195868938124215e-06,8.910817884940846e-06,1.5579478116821286,train (in-sample),raw
1,484582,17,3.619058767270129e-05,3.50817818243352e-05,2.684490209503565e-05,4.532372622634284e-05,2.6844890362554e-05,4.532381353783421e-05,8.64184196106862e-06,-1.108805848366088e-06,-0.12830665653934,train (in-sample),raw
2,484583,13,5.4398604632655124e-05,2.6827189562985083e-05,4.532381353783421e-05,6.364527507685125e-05,4.532381353783421e-05,6.364534056046978e-05,1.0594927273875188e-05,-2.757141506967004e-05,-2.602322258280642,train (in-sample),raw
3,484584,23,7.343424072434194e-05,4.746339127994321e-05,6.364534056046978e-05,8.35500395623967e-05,6.364534056046978e-05,8.355007157661022e-05,1.2309738368894298e-05,-2.597084944439873e-05,-2.1097807821833925,train (in-sample),raw
4,484583,26,9.456103304711057e-05,5.3654379125970166e-05,8.355011959793046e-05,0.00010602449765428901,8.355007157661022e-05,0.00010602452312014066,1.3968555004169947e-05,-4.0906653921140406e-05,-2.928481429104785,train (in-sample),raw
5,484583,24,0.00011850991126785913,4.952711919320323e-05,0.0001060245995176956,0.00013168576697353274,0.00010602452312014066,0.00013168577861506498,1.563750687770579e-05,-6.89827920746559e-05,-4.411367656886781,train (in-sample),raw
6,484582,53,0.00014633794098292414,0.00010937261392292738,0.00013168588338885456,0.00016175572818610817,0.00013168577861506498,0.00016175601849681702,1.7376529893018747e-05,-3.696532705999676e-05,-2.127313525058192,train (in-sample),raw
7,484581,60,0.0001789275155027115,0.00012381830901335382,0.00016175603377632797,0.00019707376486621797,0.00016175601849681702,0.0001970739394892007,1.921394387566565e-05,-5.5109206489357694e-05,-2.868188168237193,train (in-sample),raw
8,484582,74,0.0002172054751097524,0.00015270893264710615,0.0001970739394892007,0.0002385362604400143,0.0001970739394892007,0.00023853647871874273,2.1169206260490197e-05,-6.449654246264624e-05,-3.0467151989076395,train (in-sample),raw
9,484585,106,0.0002629890793449224,0.00021874387362382246,0.00023853647871874273,0.00028890155954286456,0.00023853647871874273,0.00028890185058116913,2.3293071465237278e-05,-4.4245205721099926e-05,-1.8995007072009262,train (in-sample),raw
10,484582,125,0.0003183858487777253,0.00025795427812011176,0.00028890185058116913,0.0003499376471154392,0.00028890185058116913,0.0003499378217384219,2.5628553307021985e-05,-6.043157065761356e-05,-2.3579782258351614,train (in-sample),raw
11,484585,158,0.0003862145079790646,0.0003260521889864523,0.0003499378217384219,0.0004250458150636405,0.0003499378217384219,0.0004250458965543662,2.8225745862895892e-05,-6.016231899261227e-05,-2.1314695910905423,train (in-sample),raw
12,484582,217,0.0004708446677638133,0.000447808626816514,0.00042504622251726687,0.0005205021589063108,0.0004250458965543662,0.0005205023917369545,3.116398039828893e-05,-2.3036040947299304e-05,-0.7391880194021719,train (in-sample),raw
13,484583,268,0.0005800961827621261,0.0005530528309907694,0.0005205023917369545,0.0006449205102398992,0.0005205023917369545,0.0006449210341088476,3.458915192295802e-05,-2.704335177135665e-05,-0.7818448926296755,train (in-sample),raw
14,484579,384,0.0007225121414801774,0.0007924404483066745,0.0006449210923165083,0.0008080736151896417,0.0006449210341088476,0.0008080743718892336,3.8599646902117134e-05,6.992830682649707e-05,1.8116307385874455,train (in-sample),raw
15,484587,493,0.0009149363309421147,0.0010173611755990152,0.0008080743718892336,0.0010352658573538065,0.0008080743718892336,0.0010352664161473518,4.343209615954638e-05,0.00010242484465690046,2.3582754164258195,train (in-sample),raw
16,484583,633,0.0011900357068587491,0.001306277768720735,0.0010352667886763811,0.0013680936535820365,0.0010352664161473518,0.0013680956966709396,4.9526466298030495e-05,0.00011624206186198593,2.34706956806665,train (in-sample),raw
17,484583,957,0.0016176336311133886,0.001974893877828979,0.0013680981937795877,0.0019170156447216868,0.0013680956966709396,0.0019170158891938633,5.773038416362199e-05,0.0003572602467155903,6.18842662995326,train (in-sample),raw
18,484583,1317,0.0024007629150845384,0.002717800665727027,0.0019170164596289396,0.003053608350455761,0.0019170158891938633,0.003053609677590433,7.030214951867285e-05,0.00031703775064248875,4.509645193114341,train (in-sample),raw
19,484583,2456,0.005498155471929343,0.005068275197437797,0.00305361719802022,0.0657302588224411,0.003053609677590433,0.0657302588224411,0.00010622511684560239,-0.00042988027449154635,-4.046879751766947,train (in-sample),raw
0,121353,2,1.5801678576525733e-05,1.6480845137738663e-05,7.850602514736238e-07,2.680443321878556e-05,7.850602514736238e-07,2.68047362624202e-05,1.1410979414222578e-05,6.7916656121293e-07,0.0595186913023803,holdout (in-time),raw
1,121353,1,3.620848471540361e-05,8.240422568869332e-06,2.6804866138263606e-05,4.5410295570036396e-05,2.68047362624202e-05,4.541031303233467e-05,1.7273170264644257e-05,-2.7968062146534278e-05,-1.6191620714687769,holdout (in-time),raw
2,121353,6,5.4607199750599844e-05,4.944253541321599e-05,4.541033922578208e-05,6.390899216057733e-05,4.541031303233467e-05,6.390899798134342e-05,2.1212303711532624e-05,-5.164664337383851e-06,-0.24347493830082897,holdout (in-time),raw
3,121352,8,7.392170906119176e-05,6.592392379194409e-05,6.390905036823824e-05,8.43702073325403e-05,6.390899798134342e-05,8.437065553152936e-05,2.468007515885511e-05,-7.99778526924767e-06,-0.3240583838488878,holdout (in-time),raw
4,121352,4,9.550710527499905e-05,3.2961961895972045e-05,8.43707675812766e-05,0.00010702719009714201,8.437065553152936e-05,0.00010702739382395521,2.8052633115277867e-05,-6.2545143379027e-05,-2.229564088405092,holdout (in-time),raw
5,121354,8,0.00011953961561495595,6.59228373189182e-05,0.00010702739382395521,0.00013280553685035557,0.00010702739382395521,0.0001328055892372504,3.1383611596029606e-05,-5.361677829603775e-05,-1.7084323814031939,holdout (in-time),raw
6,121351,17,0.00014760251297522885,0.00014008949246400936,0.00013280579878482968,0.00016320399299729615,0.0001328055892372504,0.00016320413851644844,3.487330773387587e-05,-7.513020511219494e-06,-0.2154375652734931,holdout (in-time),raw
