population,variant,in_sample_for_this_fit,rows,observed_events,predicted_events,marginal_ratio,base_rate,ece,max_error,brier,reliability,resolution,uncertainty,skill
train (in-sample),raw,True,9691658,7416,7413.143834491181,0.9996148644135897,0.0007651941494427475,9.688574624015759e-05,0.00042988027449154635,0.0007631733122857673,2.3441985098564156e-08,1.471041895931645e-06,0.0007646086273564061,0.0018771892171834947
holdout (in-time),raw,False,2427055,1834,1872.959318727928,1.0212428128287503,0.000755648306280657,0.00010806812436247265,0.0006190435089891621,0.0007537169317192853,3.1378864362850236e-08,1.4235668909284764e-06,0.0007550773019178723,0.0018016303696744007
train (in-sample),platt,False,9691658,7416,7260.404202654707,0.9790189054280888,0.0007651941494427475,9.383093756596741e-05,0.0003887790186100906,0.0007631441702990741,2.073118403619987e-08,1.471041895931645e-06,0.0007646086273564061,0.0019153028162857133
holdout (in-time),platt,True,2427055,1834,1833.9993243638994,0.9999996316051796,0.000755648306280657,0.0001044820232271377,0.0004263585723070099,0.0007536808487686922,2.4424226886578024e-08,1.4235668909284764e-06,0.0007550773019178723,0.0018494174644544392
train (in-sample),isotonic,False,9691658,7416,7265.380543463672,0.9796899330452633,0.0007651941494427475,2.7661386319110136e-05,0.00017120185408634869,0.0007630174533889997,2.1110344906736028e-09,1.4129120721760073e-06,0.0007646086273564061,0.002081030622042346
holdout (in-time),isotonic,True,2427055,1834,1828.3756308579668,0.9969332774579972,0.000755648306280657,2.317363694697166e-06,3.315317093059277e-05,0.0007534765101005534,7.682795467864477e-11,1.3914254916478931e-06,0.0007550773019178723,0.00212003699919594
test (out-of-time),raw,False,7082483,18978,7055.066970216018,0.3717497613139434,0.002679568733168862,0.0016841172853542937,0.004500201886161414,0.0026710654410341574,4.952180342813832e-06,6.592867229750717e-06,0.0026723886445730854,0.0004951388869336437
test (out-of-time),platt,False,7082483,18978,6900.042993404046,0.3635811462432314,0.002679568733168862,0.0017061627334406127,0.004582616023499345,0.002671174930192936,5.093857321156749e-06,6.592867229750717e-06,0.0026723886445730854,0.0004541683645507
test (out-of-time),isotonic,False,7082483,18978,7083.5601180608455,0.3732511391116475,0.002679568733168862,0.0016794166511856301,0.0041073420233758325,0.0026705427299619014,4.683846437095385e-06,6.582947756404254e-06,0.0026723886445730854,0.0006907358384913298
"test 2007, 2008 (sequential)",platt fitted on 2006,False,4464053,12176,9896.44075638308,0.8127825851168757,0.002727566182569965,0.0007669264556105638,0.0018888844938718796,0.002714660641058848,1.0001257901136912e-06,6.962670650524966e-06,0.0027201265652896656,0.002009437465361197
"test 2007, 2008 (sequential)",raw,False,4464053,12176,4125.113847507115,0.33879055909224004,0.002727566182569965,0.0018037756569886146,0.004642383933983085,0.00271918327931949,5.698138923636826e-06,6.962670650524966e-06,0.0027201265652896656,0.0003467801764125422
