variant,loans,lgd,discount_spread_bps,npv_total,npv_per_loan,npv_per_dollar,default_leg,delta_vs_raw,delta_pct,scope
raw,81084,0.1045,100.0,10716675.561973194,132.16757389834237,0.0008804633234042234,162974811.79459813,0.0,0.0,headline
platt,81084,0.1045,100.0,11297374.685812172,139.32927193789368,0.0009281725479222647,159583586.19573665,7.161698039551311,0.05418649846035444,headline
isotonic,81084,0.1045,100.0,11355001.460024413,140.03997656781132,0.0009329070629168228,158124021.84700975,7.872402669468954,0.05956379796699657,headline
raw,42208,0.1045,100.0,-6340749.1324385675,-150.22623987013284,-0.0009722048399713843,97175666.79572856,0.0,0.0,sequential
platt,42208,0.1045,100.0,-5974899.183341149,-141.55845297908334,-0.0009161103495907178,95000742.4302877,8.667786891049502,0.05769822168578942,sequential
isotonic,42208,0.1045,100.0,-6197945.368158147,-146.84290580359522,-0.0009503092393255086,95802339.94023295,3.3833340665376284,0.022521591896744825,sequential
sequential,42208,0.1045,100.0,-10318294.202760879,-244.4629976014234,-0.0015820678841956997,121825526.3654137,-94.23675773129057,-0.6272989180369295,sequential
raw,4216,0.1,50.0,8717795.696116535,2067.7883529688174,0.013600326515511778,9984599.901599996,0.0,0.0,sensitivity
raw,4216,0.1,100.0,-395945.59344020474,-93.9149889564053,-0.0006177007974118598,9779418.450149173,0.0,0.0,sensitivity
raw,4216,0.1,150.0,-9242097.787008854,-2192.148431453713,-0.01441827177110862,9581054.156176932,0.0,0.0,sensitivity
raw,4216,0.1045,50.0,8671491.66487029,2056.8054233563307,0.013528089224585826,9938295.870353749,0.0,0.0,sensitivity
raw,4216,0.1045,100.0,-440946.1319481677,-104.58874097442308,-0.0006879045551524538,9734417.911641208,0.0,0.0,sensitivity
raw,4216,0.1045,150.0,-9285844.164406419,-2202.5247069275188,-0.014486518956201833,9537307.778779365,0.0,0.0,sensitivity
raw,4216,0.18,50.0,7894612.918405482,1872.536270969042,0.012316108010161454,9161417.12388894,0.0,0.0,sensitivity
raw,4216,0.18,100.0,-1195955.1669151296,-283.6705803878391,-0.0018657676016891284,8979408.876674246,0.0,0.0,sensitivity
raw,4216,0.18,150.0,-10019811.162965585,-2376.615550988042,-0.015631555061654673,8803340.780220201,0.0,0.0,sensitivity
raw,4216,0.2407,50.0,7270022.985817216,1724.3887537517116,0.011341707219226888,8536827.191300675,0.0,0.0,sensitivity
raw,4216,0.2407,100.0,-1802962.4307892306,-427.6476353864399,-0.002812738289434509,8372401.612800146,0.0,0.0,sensitivity
raw,4216,0.2407,150.0,-10609901.186972756,-2516.5799779347144,-0.016552133758356496,8213250.756213029,0.0,0.0,sensitivity
platt,4216,0.1,50.0,8757459.437746938,2077.1962613251753,0.013662204524105246,9757972.725081673,9.407908356357893,0.004549744340541687,sensitivity
platt,4216,0.1,100.0,-360085.1197136247,-85.40918399279523,-0.0005617561333381561,9558077.650351645,8.50580496361006,0.09056919516391998,sensitivity
platt,4216,0.1,150.0,-9209827.449954879,-2184.494176934269,-0.014367927953015338,9364816.720655952,7.654254519443839,0.003491667995477823,sensitivity
platt,4216,0.1045,50.0,8712206.40022765,2066.4626186498217,0.013591606851535883,9712719.687562384,9.657195293490986,0.004695240096037966,sensitivity
platt,4216,0.1045,100.0,-404067.1462072553,-95.841353464719,-0.0006303709462998465,9514095.623858012,8.747387509704069,0.08363603412955532,sensitivity
platt,4216,0.1045,150.0,-9252586.503378734,-2194.6362674048232,-0.014434634848695137,9322057.667232094,7.888439522695535,0.003581544169690501,sensitivity
platt,4216,0.18,50.0,7952960.992959556,1886.3759470966688,0.012407134789538761,8953474.280294292,13.839676127626717,0.007390872124717056,sensitivity
platt,4216,0.18,100.0,-1141987.8129337293,-270.8699746047745,-0.0017815750304348826,8776174.957131539,12.800605783064611,0.04512489721550755,sensitivity
platt,4216,0.18,150.0,-9969988.399712365,-2364.7980075219084,-0.015553828320656295,8604655.770898465,11.81754346613343,0.004972425372383205,sensitivity
platt,4216,0.2407,50.0,7342547.797977129,1741.5910336757895,0.011454850628436439,8343061.085311864,17.202279924077857,0.009975871094410274,sensitivity
platt,4216,0.2407,100.0,-1735256.4814144867,-411.5883494816145,-0.0027071126186070287,8182906.288650782,16.0592859048254,0.037552612421938386,sensitivity
platt,4216,0.2407,150.0,-10546760.52034086,-2501.60353898028,-0.016453630224603878,8027883.650269969,14.976438954434343,0.00595110788679368,sensitivity
