bin,rows,events,mean_predicted,observed_rate,min_predicted,max_predicted,bin_low,bin_high,standard_error,residual,z,population,variant
0,209126,8,1.721628053525292e-05,3.825444947065406e-05,7.359550409091753e-07,2.7787851649918593e-05,7.359550409091753e-07,2.7787884391727857e-05,9.07322982168937e-06,2.1038168935401137e-05,2.3187078194701765,train (in-sample),raw
1,209126,11,3.646983473145661e-05,5.2599868022149326e-05,2.77879062196007e-05,4.500732393353246e-05,2.7787884391727857e-05,4.50073326646816e-05,1.3205503443883083e-05,1.6130033290692715e-05,1.2214629574129794,train (in-sample),raw
2,209125,6,5.361364376441744e-05,2.8690974297668858e-05,4.500736758927815e-05,6.251781451283023e-05,4.50073326646816e-05,6.25179076450877e-05,1.601116904569362e-05,-2.4922669466748584e-05,-1.5565802469278036,train (in-sample),raw
3,209126,11,7.214422426853533e-05,5.2599868022149326e-05,6.251793092815205e-05,8.21173598524183e-05,6.25179076450877e-05,8.211739186663181e-05,1.857295909224876e-05,-1.954435624638601e-05,-1.052301690285995,train (in-sample),raw
4,209125,13,9.280567862606566e-05,6.216377764494919e-05,8.211743988795206e-05,0.00010389798990217969,8.211739186663181e-05,0.0001038980990415439,2.1065130064549038e-05,-3.0641900981116476e-05,-1.4546267166270381,train (in-sample),raw
5,209126,18,0.00011626837207924406,8.607251130897163e-05,0.0001038980990415439,0.00012925696501042694,0.0001038980990415439,0.0001292572531383485,2.3577705116016066e-05,-3.0195860770272434e-05,-1.280695496940486,train (in-sample),raw
6,209124,12,0.00014362203257599888,5.738222298731853e-05,0.00012925744522362947,0.0001586766156833619,0.0001292572531383485,0.00015867676120251417,2.620459224944235e-05,-8.623980958868035e-05,-3.2910189468991105,train (in-sample),raw
7,209127,19,0.00017563721423569011,9.08538830471436e-05,0.00015867676120251417,0.0001936940534505993,0.00015867676120251417,0.00019369419314898553,2.89777775301505e-05,-8.478333118854651e-05,-2.925805165711277,train (in-sample),raw
8,209126,37,0.00021412860579387986,0.000176926828801775,0.00019369422807358205,0.00023584759037476033,0.00019369419314898553,0.00023584767768625173,3.199534716859732e-05,-3.720177699210485e-05,-1.162724592300018,train (in-sample),raw
9,209124,51,0.0002604630856913331,0.00024387444769610376,0.00023584780865348876,0.0002867963630706072,0.00023584767768625173,0.00028679665410891175,3.528698768033425e-05,-1.6588637995229344e-05,-0.4701063787452262,train (in-sample),raw
10,209127,50,0.00031741982554437417,0.00023908916591353579,0.00028679665410891175,0.00035023351665586233,0.00028679665410891175,0.00035023402306251234,3.8953190324355205e-05,-7.833065963083839e-05,-2.010892021387596,train (in-sample),raw
11,209126,65,0.00038777670538072095,0.0003108174019490642,0.0003502343606669456,0.0004279939748812467,0.00035023402306251234,0.0004279941378626974,4.305292096759649e-05,-7.695930343165673e-05,-1.7875512671853244,train (in-sample),raw
12,209123,77,0.00047525850670687394,0.00036820435820067617,0.0004279947897884995,0.0005276916199363768,0.0004279941378626974,0.000527692143805325,4.7660744674351996e-05,-0.00010705414850619777,-2.2461702862105626,train (in-sample),raw
13,209128,106,0.0005919087260263887,0.0005068666080104051,0.000527692143805325,0.0006623347289860249,0.000527692143805325,0.0006623348454013468,5.318543428118364e-05,-8.504211801598361e-05,-1.5989738387088903,train (in-sample),raw
14,209125,144,0.0007485703409023726,0.0006885833831440526,0.0006623350200243294,0.0008441974641755223,0.0006623348454013468,0.0008441978134214878,5.9806821247818634e-05,-5.9986957758319964e-05,-1.0030119726603577,train (in-sample),raw
15,209126,217,0.0009647156654479304,0.0010376519418914913,0.0008441978134214878,0.001100439578294754,0.0008441978134214878,0.0011004439787939198,6.788691347321147e-05,7.293627644356098e-05,1.0743790328947864,train (in-sample),raw
16,209126,292,0.0012755450716558751,0.001396287405678873,0.0011004469124600291,0.001482624327763915,0.0011004439787939198,0.0014826253289356838,7.804889006201828e-05,0.00012074233402299792,1.5470089827934144,train (in-sample),raw
17,209125,460,0.0017724340074265334,0.002199641362821279,0.0014826293336227536,0.002121545374393463,0.0014826253289356838,0.002121546119451523,9.198072734321173e-05,0.00042720735539474573,4.644531172282299,train (in-sample),raw
18,209126,668,0.0027100521919221966,0.0031942465307996134,0.0021215463057160378,0.0035160749685019255,0.002121546119451523,0.0035160755272954708,0.00011368300187079107,0.00048419433887741687,4.259162151855725,train (in-sample),raw
19,209126,1340,0.006806293008312523,0.006407620286334554,0.0035160763654857874,0.0869128555059433,0.0035160755272954708,0.0869128555059433,0.00017979113948786231,-0.0003986727219779688,-2.217421409717931,train (in-sample),raw
0,52507,1,1.7062623655741128e-05,1.904507970365856e-05,9.467428867537819e-07,2.765321551123634e-05,9.467428867537819e-07,2.7653236611513424e-05,1.802646617680599e-05,1.982456047917433e-06,0.1099747464907009,holdout (in-time),raw
1,52506,1,3.631049876654245e-05,1.9045442425627548e-05,2.765342651400715e-05,4.4882002839585766e-05,2.7653236611513424e-05,4.4882062502438204e-05,2.629685158334054e-05,-1.72650563409149e-05,-0.6565446166130617,holdout (in-time),raw
2,52506,2,5.3438880241529954e-05,3.8090884851255096e-05,4.488230115384795e-05,6.230016879271716e-05,4.4882062502438204e-05,6.230020371731371e-05,3.19016101254308e-05,-1.5347995390274858e-05,-0.4811040988191375,holdout (in-time),raw
3,52506,1,7.173274579772915e-05,1.9045442425627548e-05,6.230028520803899e-05,8.16416140878573e-05,6.230020371731371e-05,8.164192840922626e-05,3.696057196723701e-05,-5.26873033721016e-05,-1.4255002173344409,holdout (in-time),raw
4,52506,3,9.217230688811218e-05,5.713632727688264e-05,8.164239989127964e-05,0.00010322862362954766,8.164192840922626e-05,0.00010322877642465755,4.189630722461184e-05,-3.503597961122954e-05,-0.8362545993229632,holdout (in-time),raw
5,52506,0,0.00011560090301738726,0.0,0.00010322892921976745,0.0001285778998862952,0.00010322877642465755,0.00012857826659455897,4.6919247944616847e-05,-0.00011560090301738726,-2.4638268531891594,holdout (in-time),raw
6,52504,4,0.0001429365123754202,7.618467164406521e-05,0.0001285785110667348,0.0001579449453856796,0.00012857826659455897,0.00015794568753335625,5.2172825167734355e-05,-6.675184073135499e-05,-1.2794369581625962,holdout (in-time),raw
7,52508,9,0.00017480756000553996,0.00017140245295954902,0.00015794568753335625,0.00019302646978758276,0.00015794568753335625,0.00019302690052427354,5.769383456275812e-05,-3.4051070459909395e-06,-0.05902029344724759,holdout (in-time),raw
8,52506,8,0.0002135867725776443,0.00015236353940502038,0.0001930270082084462,0.0002354790922254324,0.00019302690052427354,0.00023548130557173868,6.377292325173805e-05,-6.122323317262393e-05,-0.9600192378033316,holdout (in-time),raw
9,52506,11,0.0002601770789056688,0.000209499866681903,0.000235481551499106,0.0002865730784833431,0.00023548130557173868,0.0002865738933905959,7.03839353157858e-05,-5.067721222376577e-05,-0.7200110649737971,holdout (in-time),raw
10,52507,10,0.00031757906758896423,0.0001904507970365856,0.0002865738933905959,0.00035095648490823805,0.0002865738933905959,0.00035095663333777353,7.775858688946599e-05,-0.00012712827055237863,-1.6349097332889004,holdout (in-time),raw
11,52506,18,0.0003888453457825594,0.00034281796366129587,0.00035095796920359135,0.0004296510014683008,0.00035095663333777353,0.00042965148459188655,8.603982776187128e-05,-4.602738212126353e-05,-0.5349543730916284,holdout (in-time),raw
12,52506,13,0.00047799202482066993,0.00024759075153315814,0.00042965341708622873,0.0005307327955961227,0.00042965148459188655,0.0005307332670781762,9.53898220722234e-05,-0.0002304012732875118,-2.4153653742331747,holdout (in-time),raw
13,52506,35,0.0005948049942919014,0.0006665904848969642,0.0005307343672029674,0.0006650332943536341,0.0005307332670781762,0.0006650335504673422,0.00010640294229675906,7.178549060506275e-05,0.6746570071798595,holdout (in-time),raw
14,52506,43,0.0007498601700059959,0.0008189540243019846,0.0006650339346379042,0.0008444942650385201,0.0006650335504673422,0.0008444946724921465,0.0001194600754564881,6.909385429598866e-05,0.5783844856280479,holdout (in-time),raw
15,52506,43,0.0009614613607953528,0.0008189540243019846,0.0008444950799457729,0.001096265739761293,0.0008444946724921465,0.001096269791014493,0.0001352547641790714,-0.00014250733649336827,-1.0536215663700745,holdout (in-time),raw
16,52506,81,0.0012776397371672484,0.0015426808364758314,0.001096272491849959,0.0014881796669214964,0.001096269791014493,0.0014881910756230365,0.00015589138838852898,0.000265041099308583,1.700165108851424,holdout (in-time),raw
17,52506,115,0.0017732298921333803,0.002190225878947168,0.0014881959650665522,0.0021262860391288996,0.0014881910756230365,0.0021263070870190873,0.00018360844858187096,0.0004169959868137879,2.2711154635558586,holdout (in-time),raw
18,52506,170,0.0027220233062748914,0.003237725212356683,0.0021263123489916325,0.0035617065150290728,0.0021263070870190873,0.003561792010441425,0.00022737858881731533,0.0005157019060817915,2.2680319583482254,holdout (in-time),raw
19,52507,316,0.007147408505518182,0.006018245186356105,0.0035618015099316835,0.050816845148801804,0.003561792010441425,0.050816845148801804,0.00036762758088421213,-0.0011291633191620768,-3.071486955484218,holdout (in-time),raw
0,209126,8,1.8372978876813977e-05,3.825444947065406e-05,8.44829251566181e-07,2.9392002471793982e-05,8.44829251566181e-07,2.939203632314808e-05,9.373068325350348e-06,1.9881470593840082e-05,2.1211272449672394,train (in-sample),platt
1,209126,11,3.833165263487377e-05,5.2599868022149326e-05,2.939205889071748e-05,4.709089242947767e-05,2.939203632314808e-05,4.709090135891513e-05,1.3538371675483659e-05,1.4268215387275553e-05,1.0539092683585836,train (in-sample),platt
2,209125,6,5.586939386883671e-05,2.8690974297668858e-05,4.709093707666496e-05,6.492927654111066e-05,4.709090135891513e-05,6.49293710854918e-05,1.6344508699767465e-05,-2.7178419571167854e-05,-1.6628471415328945,train (in-sample),platt
3,209126,11,7.468045088942242e-05,5.2599868022149326e-05,6.492939472158708e-05,8.476220706315545e-05,6.49293710854918e-05,8.476223936362502e-05,1.889658098518377e-05,-2.2080582867273095e-05,-1.168496189050591,train (in-sample),platt
4,209125,13,9.552612242581355e-05,6.216377764494919e-05,8.476228781432936e-05,0.00010667714742543718,8.476223936362502e-05,0.00010667725695827253,2.137161556538173e-05,-3.3362344780864364e-05,-1.561058623705805,train (in-sample),platt
5,209126,18,0.0001190709219406368,8.607251130897163e-05,0.00010667725695827253,0.0001320627339885146,0.00010667725695827253,0.00013206302173518914,2.3860139877099217e-05,-3.299841063166517e-05,-1.382993176135434,train (in-sample),platt
6,209124,12,0.00014638585760983754,5.738222298731853e-05,0.00013206321356630543,0.00016137334638445297,0.00013206302173518914,0.00016137349104087842,2.64554913806026e-05,-8.900363462251902e-05,-3.3642782642766287,train (in-sample),platt
7,209127,19,0.00017820726173364517,9.08538830471436e-05,0.00016137349104087842,0.00019610247633055543,0.00016137349104087842,0.00019610261457796483,2.9188981693437836e-05,-8.735337868650156e-05,-2.9926833215336197,train (in-sample),platt
8,209126,37,0.00021629388324065498,0.000176926828801775,0.00019610264913981718,0.00023772273064705143,0.00019610261457796483,0.00023772281666908948,3.2156674594186476e-05,-3.9367054438879976e-05,-1.2242265388348659,train (in-sample),platt
9,209124,51,0.00026193794701226934,0.00024387444769610376,0.00023772294570214647,0.00028780501354942105,0.00023772281666908948,0.0002878052990285071,3.5386726094904664e-05,-1.8063499316165583e-05,-0.5104597488821252,train (in-sample),platt
10,209127,50,0.00031779699043682627,0.00023908916591353579,0.0002878052990285071,0.00034988590491318104,0.0002878052990285071,0.00034988639941529857,3.8976318600012374e-05,-7.870782452329048e-05,-2.0193755426472086,train (in-sample),platt
11,209126,65,0.0003864895210562261,0.0003108174019490642,0.0003498867290833768,0.0004256414341175003,0.00034988639941529857,0.0004256415925503773,4.2981434405324416e-05,-7.56721191071619e-05,-1.7605768665967987,train (in-sample),platt
12,209123,77,0.0004715128341828994,0.00036820435820067617,0.0004256422262818845,0.0005223205471268107,0.0004256415925503773,0.0005223210539795211,4.747264690188371e-05,-0.00010330847598222323,-2.1761684406546955,train (in-sample),platt
13,209128,106,0.0005843422603440951,0.0005068666080104051,0.0005223210539795211,0.000652244957964615,0.0005223210539795211,0.000652245070023837,5.284460191238104e-05,-7.747565233369002e-05,-1.4661034340299977,train (in-sample),platt
14,209125,144,0.0007350976980878228,0.0006885833831440526,0.0006522452381126695,0.0008268065083014389,0.000652245070023837,0.0008268068426493946,5.926658060515086e-05,-4.651431494377017e-05,-0.784832100465867,train (in-sample),platt
15,209126,217,0.000941946306192508,0.0010376519418914913,0.0008268068426493946,0.0010713564640595725,0.0008268068426493946,0.0010713606518237852,6.70817557375766e-05,9.570563569898333e-05,1.4267014130247748,train (in-sample),platt
16,209126,292,0.001237613663035016,0.001396287405678873,0.0010713634436665927,0.0014337911006901511,0.0010713606518237852,0.0014337920471113284,7.688110583205006e-05,0.00015867374264385702,2.063884759806738,train (in-sample),platt
17,209125,460,0.0017069895591359326,0.002199641362821279,0.0014337958327960338,0.002035212480763494,0.0014337920471113284,0.0020352131794542454,9.026959013928007e-05,0.0004926518036853466,5.457561100313152,train (in-sample),platt
18,209126,668,0.002584931658660229,0.0031942465307996134,0.0020352133541269328,0.0033350183546155547,0.0020352131794542454,0.003335018872783159,0.00011103463772555498,0.0006093148721393843,5.4876107548117705,train (in-sample),platt
19,209126,1340,0.006341876420206293,0.006407620286334554,0.0033350196500345646,0.07732668725312485,0.003335018872783159,0.07732668725312485,0.00017358946547589257,6.574386612826118e-05,0.37873188875848823,train (in-sample),platt
0,52507,1,1.8212274141480168e-05,1.904507970365856e-05,1.0806485378964339e-06,2.9252796206377763e-05,1.0806485378964339e-06,2.9252818024081873e-05,1.8623852866830816e-05,8.328055621783931e-07,0.04471714677587603,holdout (in-time),platt
1,52506,1,3.8167826332487424e-05,1.9045442425627548e-05,2.9253014383418856e-05,4.696272120956572e-05,2.9252818024081873e-05,4.696278223121976e-05,2.6960997641975652e-05,-1.9122383906859876e-05,-0.709260991035739,holdout (in-time),platt
2,52506,2,5.569136745246634e-05,3.8090884851255096e-05,4.696302631783592e-05,6.470832206977514e-05,4.696278223121976e-05,6.470835752670528e-05,3.2566971956871825e-05,-1.7600482601211246e-05,-0.5404396400291505,holdout (in-time),platt
3,52506,1,7.426423298254742e-05,1.9045442425627548e-05,6.470844025954229e-05,8.428217599381406e-05,6.470835752670528e-05,8.428249316720452e-05,3.760704900121517e-05,-5.5218790556919867e-05,-1.4683095861931528,holdout (in-time),platt
4,52506,3,9.488885953191647e-05,5.713632727688264e-05,8.428296892729016e-05,0.00010600531904807337,8.428249316720452e-05,0.00010600547241638235,4.250916169335869e-05,-3.775253225503383e-05,-0.8881034287940804,holdout (in-time),platt
5,52506,0,0.00011840267564368104,0.0,0.00010600562578469134,0.00013138452714013142,0.00010600547241638235,0.00013138489340665195,4.748435890129955e-05,-0.00011840267564368104,-2.49350898660739,holdout (in-time),platt
6,52504,4,0.00014570285660992164,7.618467164406521e-05,0.00013138513758433225,0.0001606459760120388,0.00013138489340665195,0.00016064671383663587,5.2675200378050476e-05,-6.951818496585643e-05,-1.3197516946670098,holdout (in-time),platt
7,52508,9,0.00017738436363196552,0.00017140245295954902,0.00016064671383663587,0.0001954418008251043,0.00016064671383663587,0.00019544222712111265,5.811743076506468e-05,-5.9819106724165005e-06,-0.10292799584685569,holdout (in-time),platt
8,52506,8,0.0002157586914423249,0.00015236353940502038,0.00019544233369511472,0.0002373596682360609,0.00019544222712111265,0.00023736184897133947,6.409628020268037e-05,-6.339515203730451e-05,-0.9890613283148599,holdout (in-time),platt
9,52506,11,0.0002616568085792788,0.000209499866681903,0.00023736209127525924,0.0002875859920702921,0.00023736184897133947,0.00028758679142574584,7.05837499036631e-05,-5.21569418973758e-05,-0.7389369645075913,holdout (in-time),platt
