population,variant,in_sample_for_this_fit,rows,observed_events,predicted_events,marginal_ratio,base_rate,ece,max_error,brier,reliability,resolution,uncertainty,skill
train (in-sample),raw,True,4182513,3605,3603.727742245971,0.9996470852277313,0.0008619220071760685,0.00011392065257569034,0.00048419433887741687,0.0008588624699029131,3.249898128536242e-08,2.270463990564465e-06,0.0008611790976296141,0.002690064973798756
holdout (in-time),raw,False,1050123,884,923.5182678610608,1.0447039229197521,0.0008418061503271522,0.00017169173736464167,0.0011291633191620768,0.0008392754403722929,9.576992237441827e-08,2.090788765134213e-06,0.0008410975127324235,0.002166303350739196
train (in-sample),platt,False,4182513,3605,3453.3516492142317,0.9579338832771794,0.0008619220071760685,0.00010936625701227242,0.0006093148721393843,0.0008587801810532267,3.524223528762173e-08,2.270463990564465e-06,0.0008611790976296141,0.0027856186744318334
holdout (in-time),platt,True,1050123,884,884.0009373764392,1.0000010603805873,0.0008418061503271522,0.00015901199818258292,0.0006416453033873193,0.0008391200607723727,6.320211842207132e-08,2.090788765134213e-06,0.0008410975127324235,0.0023510376979083425
train (in-sample),isotonic,False,4182513,3605,3456.6646743983965,0.9588528916500406,0.0008619220071760685,7.061538404150673e-05,0.00046436288553822116,0.0008587079602814259,1.522742130477012e-08,2.2286129505334545e-06,0.0008611790976296141,0.002869481336681301
holdout (in-time),isotonic,True,1050123,884,874.1495587552251,0.9888569669176756,0.0008418061503271522,9.380273781999565e-06,0.00016936797188402217,0.0008387485235306814,1.5887179461741327e-09,2.1217481687770517e-06,0.0008410975127324235,0.0027927667912261978
test (out-of-time),raw,False,6886077,4761,3070.596957194326,0.6449479011120197,0.0006913951150996424,0.0002461778365881143,0.0009512244000658731,0.0006901912475296694,1.4316617970161882e-07,8.504547908349215e-07,0.0006909170878944587,0.0010505462630853168
test (out-of-time),platt,False,6886077,4761,2997.1710024838785,0.6295255203704849,0.0006913951150996424,0.0002572687730965433,0.0009959180410474197,0.0006902014068321893,1.610750229061206e-07,8.504547908349215e-07,0.0006909170878944587,0.0010358421796317074
test (out-of-time),isotonic,False,6886077,4761,2983.8432465282267,0.6267261597412784,0.0006913951150996424,0.0002580797097493643,0.000780634391896798,0.0006901538411395048,1.2187946460578697e-07,8.429764477626062e-07,0.0006909170878944587,0.0011046864643048382
test 2004 (sequential),platt fitted on 2003,False,3377730,3078,2229.252849967247,0.7242536874487483,0.000911262889573767,0.00025397140300505454,0.0008115940480444117,0.000909448601448047,1.3462126098360623e-07,1.1721501747422517e-06,0.0009104324895198527,0.001080682074872552
test 2004 (sequential),raw,False,3377730,3078,1757.2976517305137,0.5709219141424671,0.000911262889573767,0.00039124935844260614,0.0011177803251389837,0.0009095914432556595,3.0091004744655024e-07,1.1721501747422517e-06,0.0009104324895198527,0.0009237876216794394
