feature,coefficient
age_spline_0,-12.600177
age_spline_6,2.7248058
age_spline_4,2.635064
age_spline_5,2.4445977
classic_fico_spline_2,2.2432096
age_spline_3,2.0119123
classic_fico_spline_5,-1.8697244
age_spline_2,1.7296972
classic_fico_spline_0,-1.680773
original_combined_loan_to_value_spline_2,-1.6564635
age_spline_1,1.6281289
cat_number_of_borrowers=OTHER,-1.4833264
original_combined_loan_to_value_spline_1,-0.82939816
classic_fico_spline_1,0.77782834
original_combined_loan_to_value_spline_6,0.7714887
classic_fico_is_missing,0.73052216
original_combined_loan_to_value_is_missing,-0.7045926
original_combined_loan_to_value_spline_3,-0.6845001
original_combined_loan_to_value_spline_4,-0.671512
original_debt_to_income_ratio_spline_2,-0.6534937
cat_property_state=VA,-0.6186071
classic_fico_spline_4,-0.597345
cat_number_of_borrowers=2,-0.5746646
original_combined_loan_to_value_spline_5,0.53914195
classic_fico_spline_6,-0.5199256
cat_property_state=LA,0.48947456
cat_property_type=MH,0.46617067
cat_property_state=MI,0.44280005
cat_loan_purpose=P,-0.437558
cat_property_state=OK,-0.41248143
cat_property_state=NM,-0.39278618
cat_property_type=OTHER,-0.37078938
cat_property_state=NV,0.34400937
cat_property_state=MD,-0.3438397
cat_property_state=NE,-0.34354255
cat_property_state=CT,-0.3376661
original_debt_to_income_ratio_spline_3,-0.33024198
original_debt_to_income_ratio_spline_4,-0.32042062
classic_fico_spline_3,-0.31937918
cat_occupancy_status=S,-0.30294085
lin_original_interest_rate,0.30279288
lin_original_loan_term,0.2604145
cat_property_state=TX,-0.2511075
cat_channel=T,0.23595124
cat_loan_purpose=N,-0.23365954
cat_property_state=OH,0.2247035
cat_property_type=SF,0.21301104
cat_channel=OTHER,-0.20591505
cat_property_state=KS,-0.2028343
cat_property_state=ID,-0.19240189
original_debt_to_income_ratio_spline_0,-0.17320831
cat_property_state=NY,-0.16971332
cat_property_state=OR,-0.1608275
original_debt_to_income_ratio_is_missing,0.15758772
cat_property_state=PA,-0.15590642
cat_occupancy_status=P,-0.15508582
cat_property_state=IN,0.15344673
original_debt_to_income_ratio_spline_1,-0.14931165
original_combined_loan_to_value_spline_0,-0.14627095
cat_number_of_units=2,0.14574182
cat_property_state=AZ,-0.1312852
cat_property_state=WA,-0.13041972
cat_property_state=CA,-0.1271388
cat_property_state=MN,0.12656929
cat_property_state=FL,0.12375722
cat_property_state=NC,-0.12252815
cat_first_time_homebuyer_indicator=OTHER,-0.11674842
cat_property_state=NH,0.11082196
cat_property_state=OTHER,-0.09744419
cat_property_state=WI,-0.09595054
original_debt_to_income_ratio_spline_6,0.09055348
cat_number_of_units=OTHER,-0.090120375
cat_property_state=GA,0.08982795
cat_property_type=PU,0.08928762
cat_property_state=MO,-0.08475738
cat_property_state=IL,0.08278034
original_debt_to_income_ratio_spline_5,0.07672304
cat_property_state=TN,0.07266146
cat_property_state=MA,0.06639587
cat_property_state=IA,-0.05202018
cat_first_time_homebuyer_indicator=Y,-0.036396436
lin_log_original_upb,0.032092776
cat_property_state=UT,-0.029975949
cat_property_state=CO,-0.02146714
cat_property_state=NJ,-0.021229388
cat_property_state=SC,0.016507247
cat_property_state=KY,-0.008957295
cat_loan_purpose=OTHER,0.0
cat_occupancy_status=OTHER,0.0
original_interest_rate_is_missing,0.0
original_loan_term_is_missing,0.0
log_original_upb_is_missing,0.0
