feature,coefficient
age_spline_0,-13.722638
age_spline_6,2.6109548
age_spline_2,2.381814
age_spline_1,2.195924
age_spline_5,2.000425
age_spline_4,1.7865663
classic_fico_spline_2,-1.0748688
age_spline_3,1.0395736
classic_fico_spline_6,-0.8866785
original_combined_loan_to_value_spline_5,-0.83871907
original_debt_to_income_ratio_spline_6,-0.7835611
original_debt_to_income_ratio_spline_2,-0.6412372
original_combined_loan_to_value_spline_2,-0.6395159
original_combined_loan_to_value_spline_3,-0.6375803
original_debt_to_income_ratio_spline_4,-0.6202726
original_debt_to_income_ratio_spline_3,-0.6197339
original_combined_loan_to_value_spline_4,-0.6195676
cat_property_state=WI,0.612809
original_combined_loan_to_value_spline_6,-0.60777843
original_debt_to_income_ratio_spline_5,-0.5962864
lin_original_interest_rate,0.59605914
cat_property_type=MH,-0.55968386
original_debt_to_income_ratio_spline_1,-0.532976
classic_fico_spline_1,-0.5053412
classic_fico_spline_4,-0.47849923
classic_fico_spline_3,-0.47653684
classic_fico_spline_5,-0.4406601
original_combined_loan_to_value_spline_1,-0.41587928
cat_channel=OTHER,-0.40567142
cat_number_of_units=OTHER,-0.37204733
cat_property_state=UT,0.3707817
cat_occupancy_status=P,0.36743888
cat_property_state=MO,0.35747582
cat_property_state=IL,0.35425994
lin_log_original_upb,0.35379526
cat_property_state=IA,0.33115256
cat_property_state=NE,0.3259501
cat_property_state=MA,0.318836
cat_first_time_homebuyer_indicator=OTHER,-0.28085
cat_property_state=MN,0.27535582
cat_property_state=NH,0.2744535
cat_property_state=CO,0.26642585
cat_property_state=MI,0.2664095
cat_property_state=CA,0.25577486
cat_property_state=KY,0.2530966
cat_number_of_units=2,-0.24505925
cat_property_state=NY,-0.24244298
cat_property_state=AZ,0.23653461
cat_property_state=ID,0.23644337
cat_property_state=WA,0.23231608
cat_property_state=KS,0.2247258
cat_occupancy_status=S,0.21741031
classic_fico_spline_0,0.18957762
cat_property_state=MD,0.18348594
cat_property_state=OR,0.17487276
cat_property_state=IN,0.17309512
classic_fico_is_missing,-0.1719171
cat_property_state=NV,0.16881073
cat_property_state=TX,-0.15604989
cat_property_state=OTHER,0.13587919
cat_number_of_borrowers=OTHER,0.13467418
cat_property_state=OH,0.11924025
cat_property_state=VA,0.11127915
cat_loan_purpose=P,0.095808744
lin_original_loan_term,-0.09525679
cat_property_type=OTHER,-0.07532061
cat_property_state=NJ,0.071684405
cat_property_state=CT,0.069435105
cat_number_of_borrowers=2,0.06832843
cat_property_state=PA,0.06586238
original_debt_to_income_ratio_spline_0,0.057497922
cat_property_state=TN,0.051965903
cat_property_state=GA,-0.04679662
cat_property_state=FL,0.039658442
cat_property_type=PU,0.039585747
cat_property_type=SF,-0.037405916
cat_loan_purpose=N,0.03623592
cat_property_state=OK,-0.03622591
cat_property_state=NC,0.03417493
cat_first_time_homebuyer_indicator=Y,-0.030660594
cat_channel=T,0.016453044
original_debt_to_income_ratio_is_missing,-0.01569466
cat_property_state=NM,-0.014932786
original_combined_loan_to_value_is_missing,0.012971262
cat_property_state=SC,-0.01262811
cat_property_state=LA,-0.009039246
original_combined_loan_to_value_spline_0,-0.0037445673
log_original_upb_is_missing,0.0
cat_occupancy_status=OTHER,0.0
original_loan_term_is_missing,0.0
cat_loan_purpose=OTHER,0.0
original_interest_rate_is_missing,0.0
